laptop_id,brand,model,old_price,current_price,discount_rate_percent,operational_system,graphics_type,integrated_graphics,gpu,cpu_brand,cpu_model,cpu_frequency,ram,memory_type,hdd_capacity,ssd_capacity,display_diagonal,resolution,video_standard,weight,gpu_brand,cpu_gpu_combination
145040,DELL,Inspiron 3593,,,,Windows 10 Home (x64) SL,Both,Intel Iris Plus,GeForce MX230,Intel,Core i7,1.3,8,SSD,0.0,256.0,15.6,1920 x 1080,Full HD,1.9,NVIDIA,Intel + NVIDIA
145048,DELL,Inspiron 3793,,,,Linux,Both,Intel UHD Graphics,GeForce MX230,Intel,Core i5,1.0,8,SSD,0.0,256.0,17.3,1920 x 1080,Full HD,2.8,NVIDIA,Intel + NVIDIA
145031,DELL,Inspiron 5593,,,,Windows 10 Home (x64) SL,Both,Intel UHD Graphics,GeForce MX230,Intel,Core i5,1.0,8,SSD,0.0,256.0,15.6,1920 x 1080,Full HD,1.8,NVIDIA,Intel + NVIDIA
145041,DELL,Inspiron 3593,,,,Windows 10 Home (x64) SL,Integrated,Intel UHD Graphics,No,Intel,Core i5,1.0,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.9,Intel,Intel + Intel
145032,DELL,Inspiron 5593,,,,Linux,Both,Intel UHD Graphics,GeForce MX230,Intel,Core i5,1.0,8,SSD,0.0,256.0,15.6,1920 x 1080,Full HD,1.8,NVIDIA,Intel + NVIDIA
145042,DELL,Inspiron 3593,,,,Linux,Integrated,Intel UHD Graphics,No,Intel,Core i5,1.0,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.9,Intel,Intel + Intel
145037,DELL,Inspiron 3793,,,,Windows 10 Home (x64) SL,Both,Intel UHD Graphics,GeForce MX230,Intel,Core i5,1.0,8,SSD,0.0,256.0,17.3,1920 x 1080,Full HD,2.8,NVIDIA,Intel + NVIDIA
145043,DELL,Inspiron 3593,,,,Windows 10 Home (x64) SL,Both,Intel UHD Graphics,GeForce MX230,Intel,Core i5,1.0,4,SSD,0.0,256.0,15.6,1920 x 1080,Full HD,1.9,NVIDIA,Intel + NVIDIA
145006,HP,Gaming Pavilion 15-dk0015ur,,,,DOS,Both,Intel UHD Graphics 630,GeForce GTX 1660 Ti,Intel,Core i5,2.4,8,SHDD,1024.0,256.0,15.6,1920 x 1080,Full HD,2.2,NVIDIA,Intel + NVIDIA
145044,DELL,Inspiron 3593,,,,Linux,Both,Intel UHD Graphics,GeForce MX230,Intel,Core i5,1.0,4,HDD,1024.0,0.0,15.6,1920 x 1080,Full HD,2.0,NVIDIA,Intel + NVIDIA
145010,HP,Pavilion 15-bc524ur,,,,Windows 10 Home (x64),Both,Intel UHD Graphics 630,GeForce GTX 1650,Intel,Core i5,2.4,16,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,2.1,NVIDIA,Intel + NVIDIA
145025,DELL,Inspiron 5593,,,,Linux,Both,Intel Iris Plus,GeForce MX230,Intel,Core i7,1.3,8,SSD,0.0,256.0,15.6,1920 x 1080,Full HD,1.8,NVIDIA,Intel + NVIDIA
145045,DELL,Inspiron 3593,,,,Windows 10 Home (x64) SL,Both,Intel UHD Graphics,GeForce MX230,Intel,Core i5,1.0,4,HDD,1024.0,0.0,15.6,1920 x 1080,Full HD,2.0,NVIDIA,Intel + NVIDIA
