laptop_id,image_link
179026,//static.shop.kz/upload/iblock/2c1/zkqlyj89a1ed2qdztuvpe94tgsvddce6/179026o200o.JPG
179028,//static.shop.kz/upload/iblock/834/k7c3tp6gjjrlgc5r2pz584lvnnz449lc/179028o200o.JPG
179027,//static.shop.kz/upload/iblock/131/7the0ule4a0tu7bj0e92auly5y3qazh1/179027o200o.JPG
178978,//static.shop.kz/upload/iblock/05f/4a60kdhgxbh32nodpg10dsig41f53lth/178978o200o.jpg
178926,//static.shop.kz/upload/iblock/d37/nwqgn1mnx9sz23b4nuqmaqxsjba6wgtm/178926o200.jpg
178922,//static.shop.kz/upload/iblock/71c/i04665l4ornxr2hz42r9uw91and75fr7/178922o200o.jpg
178844,//static.shop.kz/upload/iblock/bf4/ttbcijtzom3tiox279yy74c25403l8ld/178844o200.jpg
178843,//static.shop.kz/upload/iblock/1bc/71zuv3y5r2v928vb736sp8bvnp0psw34/178843_Vivobook-S-14-S5406MA_01_1.jpg
178847,//static.shop.kz/upload/iblock/3a0/j94jx3prswck2jg1buypebmy02eaxemi/178847_TUF-Gaming-A15-FA506NC_01_1.jpg
178845,//static.shop.kz/upload/iblock/c52/adbws1c1ia2evz2bya3s2yzp87zmem6t/178845o200o_.jpg
178783,//static.shop.kz/upload/iblock/267/i6v59k5l6bnrh3jzaj9bsd79jxai28sv/178783o200.jpg
178848,//static.shop.kz/upload/iblock/746/g2aq8cymoq9jiglp9457ehbizmrbxytq/178848o200o.jpg
178846,//static.shop.kz/upload/iblock/4b4/jmp4hs0a23ho2m47flgq30f2q2fxreqs/178846o200.jpg
178842,//static.shop.kz/upload/iblock/136/eb2scottpfyctp5724gv0d6125zz216x/178842o200.jpg
178603,//static.shop.kz/upload/iblock/32a/rkgruqfv3t3t9pp1bz80j2fn3h0b9qzk/178603o200.jpg
178723,//static.shop.kz/upload/iblock/f14/hi4e9rf4r67yhmeybv596fh33ugegpow/178723o200o_o.jpg
178725,//static.shop.kz/upload/iblock/6bb/afokn55tqn3gkynwfzb0b1xrmbwpkfu0/178724o200o_.JPG
178724,//static.shop.kz/upload/iblock/391/9psvbrw521vwmla1twylbs4u2zfkjvbu/178724o200o_.JPG
178637,//static.shop.kz/upload/iblock/c83/srib16xtjt918qf3y32es8dvx787x95g/178637o200o.jpg
178642,//static.shop.kz/upload/iblock/a3f/nlxwafpweee803dzu4xzza6bkyi2s2d0/178642o200o.jpg
178641,//static.shop.kz/upload/iblock/2ea/mzcw3eqd9so7zmjmc504yukvgwbh3ry9/178641o200o.jpg
178643,//static.shop.kz/upload/iblock/229/ia8lqyeovw014pombsad70fkgvszp2h0/178643o200o.JPG
178639,//static.shop.kz/upload/iblock/00d/1so9uaenea7ti6qv1aame7bfzunbk5vt/178639o200o.JPG
178634,//static.shop.kz/upload/iblock/41d/e01czf4bftmepi2pv860gaezziq0fzr4/178634o200o.JPG
178631,//static.shop.kz/upload/iblock/54a/0c07mqnix6uin08jcde5qp0efeoftoa0/178631_B1402CGA_EB0186_01_1.jpg
178636,//static.shop.kz/upload/iblock/c77/yx7it7qbggnwsiqff6r5jnywtl9bqceu/178636o200o.JPG
178595,//static.shop.kz/upload/iblock/4db/uk66eeou34j63fpsdqfjk89itvisi2jv/178595_IdeaPad-Slim-3_01_1.jpg
178635,//static.shop.kz/upload/iblock/74e/gxfvxc8rcowaju1p0vuhic115tst8ogz/178635o200o.JPG
178638,//static.shop.kz/upload/iblock/d1b/dodtnrvpz9gmn22d1aine3ucxlibyeyk/178638o200o.JPG
178640,//static.shop.kz/upload/iblock/260/bf2vmoha8w0o1xapwxwr84rtweikpel5/178640o200o.JPG
178601,//static.shop.kz/upload/iblock/24b/cgh966dfkpfw3i6uz9n7wuwfp3qm2r2g/178601_Legion-Pro-9-16IMH9_01_1.jpg
178633,//static.shop.kz/upload/iblock/7da/l6xcs28utzgd3twr4ezybhhtbfcqjn49/178633o200o.jpg
178600,//static.shop.kz/upload/iblock/b25/p2ny2od74bmlizdla3g5j8do26mav8ab/178600_Yoga-Pro-7-14IMH9_01_1.jpg
178632,//static.shop.kz/upload/iblock/ad1/2hwwyojcqnf303bzdjwq8874sb8mux1k/178632o200o.jpg
178599,//static.shop.kz/upload/iblock/60e/gp94nil2k6yvqwe9vq07dten7qkbn7py/178599_Yoga-Pro-7-14IMH9_01_1.jpg
178505,//static.shop.kz/upload/iblock/f62/ry0nbm217ygmlxdmth31nuxsiurcxktt/178505o200.JPG
178502,//static.shop.kz/upload/iblock/cb4/kjr31wplxff0ckoduig9zhcl9yk9hfgn/178502o200o.jpg
178501,//static.shop.kz/upload/iblock/a82/bernvmsjpjbkgg7w5fpxxyad9k24ef0a/178501o200.JPG
178430,//static.shop.kz/upload/iblock/238/ylqotjxip0j45sg18rdyh3enram5u7z5/178430o200o.JPG
178431,//static.shop.kz/upload/iblock/561/gtlqt0ajj6mqxxjhwpn3xeh7ofrr1zq2/178431o200o.JPG
178171,//static.shop.kz/upload/iblock/ffe/owemkn5qjaitm2xyoxa643y49dc6nyp6/178171o200o.jpg
178424,//static.shop.kz/upload/iblock/e49/teguxvysq8jamgoff62f22hrt5eswvvz/178424o200o.JPG
178421,//static.shop.kz/upload/iblock/12f/mp0i9ck8wrej871agu7kvnwoh0pb54of/178421o200o.JPG
178420,//static.shop.kz/upload/iblock/12c/40ongwl7m9xd86itfxk0m4pqj8zjvi1b/178420o200o.jpg
178423,//static.shop.kz/upload/iblock/b15/c0gafnb0abnjn24bshmif4vjhheiqjo7/178423o200o.jpg
178422,//static.shop.kz/upload/iblock/261/xbx17k72kkqj4gsu5fzdn1q4k5zys2gj/178422o200o.JPG
177063,//static.shop.kz/upload/iblock/727/fzvj0umy7rub9mkejdog1hf1yvinnq35/177063o200o.jpg
178416,//static.shop.kz/upload/iblock/875/fmv85t69b6zfxpits8tr8ju93j1jwpwd/178416o200o.jpg
