laptop_id,brand,model,old_price,current_price,discount_rate_percent,operational_system,graphics_type,integrated_graphics,gpu,cpu_brand,cpu_model,cpu_frequency,ram,memory_type,hdd_capacity,ssd_capacity,display_diagonal,resolution,video_standard,weight
166032,ASUS,L510KA/E510,,,,Windows 11 Home (x64),Integrated,Intel UHD Graphics,No,Intel,Pentium Silver,1.1,8,SSD,0.0,256.0,15.6,1920 x 1080,Full HD,1.6
165821,HP,Spectre x360 16-f1006ur,,,,Windows 11 Home (x64),Integrated,Intel Iris Xe Graphics,No,Intel,Core i7,2.3,16,SSD,0.0,1024.0,16.0,3072 x 1920,Other,2.0
165820,HP,"Spectre x360 16-f1000ur, OLED",,,,Windows 11 Home (x64),Both,Intel Iris Xe Graphics,Intel Arc A370M,Intel,Core i7,2.1,32,SSD,0.0,2048.0,16.0,3840 x 2400,Ultra HD+,2.0
165903,RedmiBook,15 XMA2101-BN,249990.0,179700.0,28.12,Windows 11 Home (x64),Integrated,Intel UHD Graphics,No,Intel,Core i3,3.0,8,SSD,0.0,256.0,15.6,1920 x 1080,Full HD,1.7
166036,ASUS,Vivobook S 16X M5602QA,499990.0,469890.0,6.02,Windows 11 Home (x64),Integrated,AMD Radeon Graphics,No,AMD,Ryzen 5,3.3,16,SSD,0.0,512.0,16.0,2560 x 1600,WQXGA,1.8
166030,ASUS,E510KA,216990.0,199900.0,7.88,Windows 11 Home (x64),Integrated,Intel UHD Graphics,No,Intel,Pentium Silver,1.1,8,SSD,0.0,256.0,15.6,1920 x 1080,Full HD,1.6
166031,ASUS,"Vivobook Pro 15 M6500QC, OLED",549990.0,525990.0,4.36,DOS,Both,AMD Radeon Graphics,GeForce RTX 3050,AMD,Ryzen 7,3.2,16,SSD,0.0,512.0,15.6,2880 x 1620,Other,1.8
166039,ASUS,VivoBook 17 X712EA,,,,Windows 11 Home (x64),Integrated,Intel UHD Graphics,No,Intel,Core i3,3.0,8,SSD,0.0,256.0,17.3,1920 x 1080,Full HD,2.2
166038,ASUS,"VivoBook 15 K513EA, OLED",,,,DOS,Integrated,Intel Iris Xe Graphics,No,Intel,Core i7,2.8,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.5
165819,HP,15s-fq5038ci,269990.0,229900.0,14.85,Windows 11 Home (x64),Integrated,Intel UHD Graphics,No,Intel,Core i3,1.2,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.5
